Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime
Belgian Tripel,26,19.87,1.092,1.017,9.85,36.65,5.14,25.55,90
American Stout,12,20.82,1.096,1.026,9.16,33.18,40,18.93,60
American IPA,7,22.71,1.072,1.016,7.27,0,9.3,28.39,60
Belgian Pale Ale,24,18.93,1.07,1.02,6.47,23.28,5.93,7.57,60
Imperial IPA,86,20.82,1.079,1.014,8.51,120.63,8.08,27.63,60
N/A,111,18.93,1.046,1.013,4.27,0,3.99,11.36,0
Bohemian Pilsener,31,25,1.05,1.013,4.88,40.51,3.5,30,90
Kölsch,94,20.82,1.049,1.012,4.84,25.23,3.79,28.39,90
Dark American Lager,52,20.82,1.043,1.011,4.14,13.22,17.67,28.39,90
American Pale Ale,10,5,1.054,1.011,5.61,40.55,5.66,7,60
Holiday/Winter Special Spiced Beer,85,18.93,1.083,1.02,8.36,101.71,15.51,11.36,60
Dry Stout,58,45.42,1.044,1.01,4.39,38.47,31.4,53,60
Witbier,175,23,1.052,1.011,5.36,18.92,3.26,29,90
Saison,134,3.79,1.056,1.012,5.73,26.51,9.94,4.73,60
American IPA,7,24.61,1.058,1.015,5.73,42.52,5.6,28.39,60
Saison,134,18.93,1.055,1.014,5.43,16.73,2.84,15.14,60
Imperial IPA,86,20.82,1.075,1.019,7.89,97.11,11.3,28.39,75
